animal,verb,object
finch,chills,bag
dove,cooks,tank
penguin,cracks,knife
ducklet,seeks,alarm
alien,unloads,milk
salmon,turns,stone
crane,shares,button
toucan,is,skateboard
plant,cools,carpet
rat,loses,rock
cat,bags,wagon
eel,bites,shirt
elf,sands,tooth
moth,roasts,kiwi
vulture,gives,apron
birch,combs,saw
poppy,whisks,sheet
badger,tows,broom
vampire,sculpts,bread
trout,shakes,onion
dingo,shoots,marker
tick,stashes,cheese
raven,rakes,sack
troll,sews,staff
bell,delivers,bone
driver,measures,tart
daisy,prunes,canteen
worker,knits,stool
fern,shoves,pie
coach,gathers,mitten
minnow,twists,drain
shrimp,fights,wallet
bear,tightens,cream
hero,splashes,pliers
centaur,sells,sweater
prince,wins,silk
clover,skewers,ladder
cedar,tears,board
vet,soaks,mattress
sapling,collects,tape
pirate,knots,fin
queen,passes,penny
artist,catches,sled
pigeon,scoops,bulb
jay,jabs,plug
virus,wipes,stapler
starfish,ties,photo
chick,stabs,crown
elm,helps,noodle
thistle,picks,suitcase
mummy,punches,book
machine,files,peach
ivy,searches,buckle
zombie,grabs,blouse
chief,clutches,wheel
ogre,presents,sponge
nettle,feels,can
buck,owns,cup
sprite,flattens,stamp
camera,hauls,incense
wizard,stores,butter
body,saves,globe
sheep,squeezes,crayon
hyena,ships,claw
weaver,brushes,tub
flea,piles,matchbox
bat,borrows,pail
ghost,cuts,paper
moss,scatters,hinge
shrub,gobbles,nickel
person,forms,thread
bamboo,squashes,bolt
hamster,pours,bicycle
sailor,tosses,fork
peacock,sorts,hose
reader,grinds,lantern
ape,chooses,cupboard
giant,displays,wool
rice,skips,slipper
dog,smells,boot
bass,mows,pear
kelp,stirs,sofa
guitar,spills,horn
bike,sips,pants
spy,sweeps,spoon
boxer,stretches,plank
gnat,carries,mat
duke,shatters,rag
lion,glues,sugar
dwarf,makes,pebble
chimp,lifts,lighter
ghoul,traps,flag
violet,straightens,mask
oat,pierces,meter
mink,wraps,plate
cobbler,heats,melon
tuna,pets,carrot
flute,chops,garlic
medic,warms,glue
ash,mixes,trowel
aphid,knows,spice
ferret,wedges,ointment
hiker,bolts,ruler
spruce,steams,handle
tulip,dents,cloak
fungus,inspects,dresser
hornet,aims,watch
termite,digs,fur
fox,observes,cushion
tortoise,washes,chain
robin,needs,backpack
hawk,packs,poster
sparrow,orbits,drill
viper,stamps,mop
clerk,takes,wire
pea,touches,towel
lady,spins,trailer
falcon,crushes,shampoo
kit,drops,toothpaste
scallop,holds,knot
panther,cleans,purse
corn,nibbles,candle
leaf,loves,magnet
spider,grills,puzzle
tiger,jams,badge
eagle,freezes,satchel
guide,planes,couch
rush,paints,dish
iris,wants,helmet
duck,finds,vest
mermaid,pays,easel
orca,tapes,gear
wasp,shapes,cone
chef,circles,note
goldfish,hides,chalk
fir,molds,bucket
toy,burns,log
skier,prefers,swing
butcher,stacks,page
elder,trims,apple
cobra,blends,statue
stork,weeds,quilt
barley,selects,jug
mayor,breaks,brick
piano,swallows,coin
robot,shields,shield
herring,grips,cherry
slug,rescues,comb
crab,strains,funnel
hammer,charges,latch
lily,cradles,compass
lemur,defends,dustpan
bean,melts,squash
cook,blocks,hat
bull,unfolds,pump
maple,flings,mast
object,ditches,lettuce
wheat,protects,cap
oyster,unties,dart
ant,crafts,pepper
shark,slides,letter
owl,wears,necklace
skunk,stuffs,barrel
dragon,tackles,table
hedgehog,kicks,pedal
wolf,attacks,mallet
hunter,loads,belt
bee,leans,motor
dolphin,bounces,cabbage
dentist,closes,cloth
racer,hands,egg
puma,empties,vice
scribe,sprays,spear
smith,throws,grape
rooster,hits,sticker
beetle,discards,tap
fawn,hunts,mug
heron,unpacks,peeler
guppy,clasps,chair
witch,gulps,rope
teacher,dumps,bed
crow,grapples,closet
pine,leads,perfume
piglet,jingles,medal
yeast,binds,stick
doctor,drains,bracelet
nun,sees,banner
kitten,spreads,phone
snake,buys,crowbar
nymph,nudges,lotion
otter,rips,orange
monk,drinks,nail
guard,earns,bin
diver,spells,razor
newt,snips,hook
waiter,chisels,robe
gnome,offers,picture
painter,rattles,string
parrot,dusts,skirt
king,pinches,soap
fly,has,drum
carp,buries,chisel
clam,doubts,bench
sloth,dries,beet
clown,hoards,trophy
mint,gnaws,sword
lentil,reveals,case
poet,studies,cape
tailor,slices,vase
writer,pokes,tie
cricket,drags,tube
face,tests,lamp
animal,rubs,pastry
frog,waters,glove
willow,likes,radish
boar,wiggles,sink
maker,lends,dice
cod,mails,pouch
puffin,adores,capsule
snail,trades,bowl
ram,shaves,seesaw
walrus,shows,mango
player,guides,shoe
goose,hurls,cake
squid,clips,doormat
judge,releases,branch
catfish,hears,box
orchid,unlocks,spinach
sphinx,smashes,raft
speaker,tugs,biscuit
deer,loosens,wardrobe
violin,draws,blanket
scooter,sharpens,zipper
rye,tastes,dime
turtle,fires,ball
camel,keeps,toast
wrestler,reads,chip
thief,swaps,brush
flower,rolls,card
puppy,pitches,mirror
tutor,slams,acorn
jackal,waxes,pencil
singer,eats,pot
skater,spears,cart
sage,uses,flashlight
grass,builds,jacket
gerbil,forgets,keychain
bush,flips,cookie
germ,gains,racket
goblin,dodges,sandal
mole,climbs,olive
mecha,pockets,jar
rose,juggles,curtain
lamb,wrestles,salt
beaver,whacks,pipe
horse,fries,soup
lizard,fills,sandbox
swimmer,drills,canvas
referee,stalks,anchor
trumpet,mops,pasta
lobster,seasons,fig
microbe,thumps,corkscrew
miner,threads,spade
ostrich,checks,arrow
chemist,splits,berry
mongoose,carves,faucet
seedling,battles,kettle
mouse,tips,shorts
goat,boils,switch
sprout,plucks,lemon
toad,taps,rug
baboon,scrubs,desk
roach,follows,goggles
zebra,milks,scarf
car,swings,tray
mule,steals,engine
doggy,tucks,basket
urchin,hugs,pin
tree,wrings,radio
mussel,twirls,muffin
runner,watches,wrench
whale,unwraps,glass
farmer,shines,club
gecko,devours,yogurt
lichen,chews,toothbrush
pilot,lobs,earring
pup,saws,bottle
donkey,shreds,salad
knight,admires,map
bobcat,bends,snorkel
surgeon,chips,ribbon
brewer,writes,stew
stag,folds,balloon
thyme,wields,lever
hand,plants,needle
climber,presses,paddle
harp,sprinkles,turnip
magpie,snares,gauge
vine,moves,seed
swan,chases,ticket
palm,counts,sauce
weed,spends,bracket
nurse,pulls,sail
dancer,opens,sock
hen,bakes,socket
monkey,scratches,scale
oak,yanks,pan
macaw,pushes,axle
turkey,stows,token
tanner,welds,axe
cub,hoists,frame
sculptor,harvests,lace
cactus,stitches,coat
herb,trusts,bow
fish,weaves,shelf
baker,locks,wand
basil,covers,rake
gong,,cord
lord,,dress
moose,,crate
scout,,tent
cyborg,,clamp
actor,,charger
calf,,timer
,,clock
,,pancake
,,twig
,,bandage
,,ring
,,pumpkin
,,shell
,,slide
,,shovel
,,clip
,,torch
,,film
,,target
,,pillow
,,valve
,,tablet
,,lime
,,tire
,,feather
,,pen
,,waffle
,,plum
,,drawer
