action,object
acting,apple
biking,backpack
building,banner
buying,basket
camping,berry
catching,bottle
checking,boulder
cheering,butter
clapping,button
cleaning,candle
climbing,canvas
closing,carpet
cooking,chapter
counting,clover
dancing,coffee
diving,compass
drawing,curtain
driving,dollar
ending,dolphin
finding,doorway
fixing,engine
floating,flower
flowing,folder
flying,forest
folding,frisbee
freezing,garden
giving,hammer
glowing,handle
growing,harvest
helping,helmet
hiding,hotel
hiking,iceberg
holding,jacket
humming,lantern
jogging,lesson
jumping,letter
keeping,marble
knocking,medal
landing,mirror
laughing,mittens
learning,moonlight
leaving,motor
lifting,mountain
melting,music
moving,napkin
opening,neighbor
painting,number
picking,ocean
planting,paper
playing,parcel
pulling,pencil
pushing,penny
racing,photo
raining,piano
reading,picture
rising,pillow
rolling,planet
rowing,present
running,raindrop
sailing,record
saving,rhythm
scoring,river
selling,sidewalk
shining,singer
shouting,sofa
singing,songbird
skating,station
sleeping,streamlet
smiling,sunrise
snowing,sunset
sorting,sweater
spending,table
spining,target
stacking,teacup
starting,ticket
staying,timber
surfing,token
swimming,towel
teaching,tower
thinking,treasure
turning,trophy
waiting,trumpet
walking,tunnel
watching,umbrella
wearing,valley
whistling,wagon
winning,window
writing,winter
