action,object
acting,airplane
biking,airport
blowing,apple
bowling,backpack
building,banner
burning,basket
buying,berry
camping,bottle
carrying,boulder
catching,butter
checking,button
cheering,candle
clapping,canvas
cleaning,carpet
climbing,chapter
closing,clover
cooking,coffee
counting,compass
dancing,cricket
diving,curtain
drawing,dollar
dreaming,dolphin
driving,doorway
ending,echo
falling,engine
finding,flower
fixing,folder
floating,forest
flowing,frisbee
flying,garden
folding,goggles
freezing,hammer
gathering,handle
giving,harvest
glowing,helmet
growing,hotel
helping,iceberg
hiding,jacket
hiking,kayak
holding,lantern
humming,ledger
jogging,lesson
jumping,lever
keeping,marble
knocking,medal
landing,mirror
laughing,mittens
learning,moonlight
leaving,motor
lifting,mountain
melting,music
moving,napkin
opening,neighbor
painting,number
picking,ocean
planting,paper
playing,parcel
pulling,parkview
pushing,pencil
racing,penny
raining,photo
reading,piano
rising,picture
rolling,pillow
rowing,planet
running,present
sailing,product
saving,raindrop
scoring,record
seeking,rhythm
selling,river
shining,secret
shouting,sidewalk
singing,skylark
skating,sofa
skiing,songbird
sleeping,station
smiling,streamlet
snowing,student
sorting,sunrise
spending,sunset
spining,sweater
stacking,table
starting,target
staying,teacup
surfing,ticket
swimming,timber
taking,token
teaching,tower
thinking,treasure
throwing,trophy
trading,trumpet
turning,tunnel
waiting,umbrella
walking,valley
watching,vessel
wearing,wagon
whistling,weightbar
winning,window
writing,winter
